Matrikelnummer,Vorname,Nachname,E-Mail,Geschlecht,Year,Haus
421352,Violet,Bear,violet.bear@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421353,Chocolate,Guan,chocolate.guan@hex.uni-hogwarts.com,männlich,7,Gryffindor
421354,Lavender,Guineafowl,lavender.guineafowl@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421355,Lime,Smelt,lime.smelt@hex.uni-hogwarts.com,männlich,7,Gryffindor
421356,Maroon,Wolverine,maroon.wolverine@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421357,Peach,Hookworm,peach.hookworm@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421358,White,Heron,white.heron@hex.uni-hogwarts.com,weiblich,6,Gryffindor
421361,Rose,Cricket,rose.cricket@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421362,Cyan,Grouse,cyan.grouse@hex.uni-hogwarts.com,männlich,6,Gryffindor
421363,Gray,Fly,gray.fly@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421364,Jade,Moose,jade.moose@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421365,Olive,Peacock,olive.peacock@hex.uni-hogwarts.com,männlich,4,Slytherin
421366,Fuchsia,Guan,fuchsia.guan@hex.uni-hogwarts.com,männlich,5,Gryffindor
421367,Fuchsia,Trout,fuchsia.trout@hex.uni-hogwarts.com,weiblich,6,Hufflepuff
421368,Green,Chipmunk,green.chipmunk@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421369,Black,Gayal,black.gayal@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421370,Tan,Sole,tan.sole@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421371,Orange,Turtle,orange.turtle@hex.uni-hogwarts.com,männlich,5,Slytherin
421373,Sapphire,Planarian,sapphire.planarian@hex.uni-hogwarts.com,weiblich,3,Slytherin
421374,Magenta,Herring,magenta.herring@hex.uni-hogwarts.com,weiblich,4,Hufflepuff
421375,Orange,Viper,orange.viper@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421376,Amber,Smelt,amber.smelt@hex.uni-hogwarts.com,weiblich,2,Slytherin
421380,Apricot,Bovid,apricot.bovid@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421381,Fuchsia,Cardinal,fuchsia.cardinal@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421383,Brown,Pheasant,brown.pheasant@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421384,Coral,Bonobo,coral.bonobo@hex.uni-hogwarts.com,weiblich,4,Slytherin
421385,Sapphire,Porpoise,sapphire.porpoise@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421387,Azure,Perch,azure.perch@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421388,Aqua,Salmon,aqua.salmon@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421389,Orange,Capybara,orange.capybara@hex.uni-hogwarts.com,weiblich,5,Gryffindor
421390,Coral,Antelope,coral.antelope@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421391,Coffee,Slug,coffee.slug@hex.uni-hogwarts.com,weiblich,7,Hufflepuff
421392,White,Antlion,white.antlion@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421393,Pink,Slug,pink.slug@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421394,Emerald,Bass,emerald.bass@hex.uni-hogwarts.com,männlich,2,Gryffindor
421395,Lavender,Chameleon,lavender.chameleon@hex.uni-hogwarts.com,männlich,2,Gryffindor
421396,Maroon,Lark,maroon.lark@hex.uni-hogwarts.com,weiblich,5,Slytherin
421397,Brown,Guppy,brown.guppy@hex.uni-hogwarts.com,männlich,3,Gryffindor
421399,Magenta,Dragonfly,magenta.dragonfly@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421400,Blue,Boa,blue.boa@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421401,Fuchsia,Wasp,fuchsia.wasp@hex.uni-hogwarts.com,männlich,2,Gryffindor
421402,Magenta,Narwhal,magenta.narwhal@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421403,Scarlet,Marmot,scarlet.marmot@hex.uni-hogwarts.com,männlich,4,Gryffindor
421404,Gray,Gamefowl,gray.gamefowl@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421405,Jade,Ocelot,jade.ocelot@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421406,Crimson,Locust,crimson.locust@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421407,Azure,Deer,azure.deer@hex.uni-hogwarts.com,männlich,6,Slytherin
421408,Crimson,Toucan,crimson.toucan@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421409,Green,Muskox,green.muskox@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421410,Azure,Squirrel,azure.squirrel@hex.uni-hogwarts.com,männlich,2,Gryffindor
421411,Moccasin,Woodpecker,moccasin.woodpecker@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421413,Tan,Felidae,tan.felidae@hex.uni-hogwarts.com,weiblich,2,Slytherin
421414,Maroon,Pike,maroon.pike@hex.uni-hogwarts.com,weiblich,7,Ravenclaw
421415,Fuchsia,Gamefowl,fuchsia.gamefowl@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421416,Scarlet,Butterfly,scarlet.butterfly@hex.uni-hogwarts.com,männlich,5,Ravenclaw
421417,Yellow,Vole,yellow.vole@hex.uni-hogwarts.com,männlich,6,Ravenclaw
421418,Magenta,Clownfish,magenta.clownfish@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421419,Chocolate,Damselfly,chocolate.damselfly@hex.uni-hogwarts.com,männlich,6,Slytherin
421420,Bronze,Warbler,bronze.warbler@hex.uni-hogwarts.com,weiblich,3,Hufflepuff
421421,Emerald,Silverfish,emerald.silverfish@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421422,Olive,Cuckoo,olive.cuckoo@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421423,Bronze,Louse,bronze.louse@hex.uni-hogwarts.com,männlich,3,Slytherin
421424,Azure,Termite,azure.termite@hex.uni-hogwarts.com,weiblich,4,Ravenclaw
421425,Harlequin,Panther,harlequin.panther@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421426,Silver,Mink,silver.mink@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421428,Coffee,Gull,coffee.gull@hex.uni-hogwarts.com,männlich,5,Slytherin
421429,Copper,Rattlesnake,copper.rattlesnake@hex.uni-hogwarts.com,männlich,2,Slytherin
421430,Yellow,Crocodile,yellow.crocodile@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421431,Blue,Buzzard,blue.buzzard@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421432,Pink,Eel,pink.eel@hex.uni-hogwarts.com,männlich,3,Gryffindor
421434,Amber,Prawn,amber.prawn@hex.uni-hogwarts.com,männlich,7,Gryffindor
421435,Black,Leopon,black.leopon@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421436,Peach,Scallop,peach.scallop@hex.uni-hogwarts.com,männlich,2,Slytherin
421437,Cyan,Iguana,cyan.iguana@hex.uni-hogwarts.com,männlich,3,Slytherin
421438,Amethyst,Bat,amethyst.bat@hex.uni-hogwarts.com,weiblich,5,Hufflepuff
421439,Scarlet,Bee,scarlet.bee@hex.uni-hogwarts.com,weiblich,6,Slytherin
421440,Amethyst,Duck,amethyst.duck@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421441,Fuchsia,Sawfish,fuchsia.sawfish@hex.uni-hogwarts.com,weiblich,5,Ravenclaw
421442,Amber,Koi,amber.koi@hex.uni-hogwarts.com,weiblich,5,Slytherin
421444,Aqua,Viper,aqua.viper@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421445,Copper,Kite,copper.kite@hex.uni-hogwarts.com,männlich,5,Slytherin
421446,Lime,Ladybug,lime.ladybug@hex.uni-hogwarts.com,weiblich,2,Ravenclaw
421447,Tan,Blackbird,tan.blackbird@hex.uni-hogwarts.com,männlich,4,Ravenclaw
421448,Teal,Puma,teal.puma@hex.uni-hogwarts.com,männlich,5,Hufflepuff
421449,Coffee,Wombat,coffee.wombat@hex.uni-hogwarts.com,weiblich,2,Slytherin
421450,Scarlet,Gazelle,scarlet.gazelle@hex.uni-hogwarts.com,männlich,3,Ravenclaw
421451,Amaranth,Tern,amaranth.tern@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421452,Red,Pony,red.pony@hex.uni-hogwarts.com,männlich,2,Slytherin
421453,Brown,Hyena,brown.hyena@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421455,Amaranth,Chipmunk,amaranth.chipmunk@hex.uni-hogwarts.com,männlich,5,Gryffindor
421456,Blush,Gorilla,blush.gorilla@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421457,Olive,Wildfowl,olive.wildfowl@hex.uni-hogwarts.com,weiblich,7,Hufflepuff
421458,Fuchsia,Ladybug,fuchsia.ladybug@hex.uni-hogwarts.com,weiblich,2,Slytherin
421459,Harlequin,Perch,harlequin.perch@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421461,Green,Platypus,green.platypus@hex.uni-hogwarts.com,weiblich,5,Slytherin
421465,Gray,Dog,gray.dog@hex.uni-hogwarts.com,männlich,4,Gryffindor
421466,Fuchsia,Vulture,fuchsia.vulture@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421467,Peach,Jaguar,peach.jaguar@hex.uni-hogwarts.com,männlich,3,Slytherin
421468,Jade,Seahorse,jade.seahorse@hex.uni-hogwarts.com,männlich,3,Gryffindor
421469,Blue,Turkey,blue.turkey@hex.uni-hogwarts.com,männlich,4,Slytherin
421470,Black,Snipe,black.snipe@hex.uni-hogwarts.com,weiblich,3,Ravenclaw
421471,Red,Constrictor,red.constrictor@hex.uni-hogwarts.com,weiblich,2,Hufflepuff
421472,Blush,Cougar,blush.cougar@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421473,Apricot,Asp,apricot.asp@hex.uni-hogwarts.com,weiblich,4,Slytherin
421474,Copper,Mockingbird,copper.mockingbird@hex.uni-hogwarts.com,weiblich,4,Slytherin
421475,Crimson,Tiger,crimson.tiger@hex.uni-hogwarts.com,männlich,5,Gryffindor
421476,Azure,Bug,azure.bug@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421478,Brown,Peacock,brown.peacock@hex.uni-hogwarts.com,weiblich,3,Gryffindor
421479,Aqua,Seahorse,aqua.seahorse@hex.uni-hogwarts.com,männlich,2,Hufflepuff
421480,Maroon,Carp,maroon.carp@hex.uni-hogwarts.com,männlich,4,Gryffindor
421482,Aqua,Herring,aqua.herring@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421483,Gold,Elk,gold.elk@hex.uni-hogwarts.com,männlich,3,Gryffindor
421484,Lime,Tiger,lime.tiger@hex.uni-hogwarts.com,weiblich,2,Gryffindor
421485,Aquamarine,Roadrunner,aquamarine.roadrunner@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421486,Plum,Lynx,plum.lynx@hex.uni-hogwarts.com,männlich,6,Hufflepuff
421487,Magenta,Bedbug,magenta.bedbug@hex.uni-hogwarts.com,männlich,2,Slytherin
421488,Ivory,Roundworm,ivory.roundworm@hex.uni-hogwarts.com,männlich,3,Hufflepuff
421489,Ivory,Dragon,ivory.dragon@hex.uni-hogwarts.com,männlich,6,Slytherin
421491,Turquoise,Anglerfish,turquoise.anglerfish@hex.uni-hogwarts.com,weiblich,4,Slytherin
421492,Jade,Earthworm,jade.earthworm@hex.uni-hogwarts.com,weiblich,4,Gryffindor
421493,Blush,Armadillo,blush.armadillo@hex.uni-hogwarts.com,männlich,3,Slytherin
421494,Amethyst,Catfish,amethyst.catfish@hex.uni-hogwarts.com,männlich,2,Ravenclaw
421495,Teal,Pheasant,teal.pheasant@hex.uni-hogwarts.com,männlich,5,Gryffindor
421496,Crimson,Hawk,crimson.hawk@hex.uni-hogwarts.com,männlich,4,Slytherin
421498,Indigo,Constrictor,indigo.constrictor@hex.uni-hogwarts.com,männlich,4,Hufflepuff
421499,Orange,Cougar,orange.cougar@hex.uni-hogwarts.com,männlich,3,Hufflepuff
